,subst,c,date,power,it,run
269,Pentan,49.7,05.01.2022,34.0,5.0,10
270,Pentan,49.7,05.01.2022,34.0,10.0,1
271,Pentan,49.7,05.01.2022,34.0,10.0,2
272,Pentan,49.7,05.01.2022,34.0,10.0,3
273,Pentan,49.7,05.01.2022,34.0,10.0,4
274,Pentan,49.7,05.01.2022,34.0,10.0,5
275,Pentan,49.7,05.01.2022,34.0,10.0,6
276,Pentan,49.7,05.01.2022,34.0,10.0,7
277,Pentan,49.7,05.01.2022,34.0,10.0,8
278,Pentan,49.7,05.01.2022,34.0,10.0,9
279,Pentan,49.7,05.01.2022,34.0,10.0,10
280,Pentan,52.3,05.01.2022,34.0,5.0,1
281,Pentan,52.3,05.01.2022,34.0,5.0,2
282,Pentan,52.3,05.01.2022,34.0,5.0,3
283,Pentan,52.3,05.01.2022,34.0,5.0,4
284,Pentan,52.3,05.01.2022,34.0,5.0,5
285,Pentan,52.3,05.01.2022,34.0,5.0,6
286,Pentan,52.3,05.01.2022,34.0,5.0,7
287,Pentan,52.3,05.01.2022,34.0,5.0,8
288,Pentan,52.3,05.01.2022,34.0,5.0,9
289,Pentan,52.3,05.01.2022,34.0,5.0,10
290,Pentan,52.3,05.01.2022,34.0,10.0,1
291,Pentan,52.3,05.01.2022,34.0,10.0,2
292,Pentan,52.3,05.01.2022,34.0,10.0,3
293,Pentan,52.3,05.01.2022,34.0,10.0,4
294,Pentan,52.3,05.01.2022,34.0,10.0,5
295,Pentan,52.3,05.01.2022,34.0,10.0,6
296,Pentan,52.3,05.01.2022,34.0,10.0,7
297,Pentan,52.3,05.01.2022,34.0,10.0,8
298,Pentan,52.3,05.01.2022,34.0,10.0,9
299,Pentan,52.3,05.01.2022,34.0,10.0,10
300,Pentan,100.8,05.01.2022,34.0,5.0,1
301,Pentan,100.8,05.01.2022,34.0,5.0,2
302,Pentan,100.8,05.01.2022,34.0,5.0,3
303,Pentan,100.8,05.01.2022,34.0,5.0,4
304,Pentan,100.8,05.01.2022,34.0,5.0,5
305,Pentan,100.8,05.01.2022,34.0,5.0,6
306,Pentan,100.8,05.01.2022,34.0,5.0,7
307,Pentan,100.8,05.01.2022,34.0,5.0,8
308,Pentan,100.8,05.01.2022,34.0,5.0,9
309,Pentan,100.8,05.01.2022,34.0,5.0,10
310,Pentan,100.8,05.01.2022,34.0,5.0,11
311,Pentan,100.8,05.01.2022,34.0,10.0,1
312,Pentan,100.8,05.01.2022,34.0,10.0,2
313,Pentan,100.8,05.01.2022,34.0,10.0,3
314,Pentan,100.8,05.01.2022,34.0,10.0,4
315,Pentan,100.8,05.01.2022,34.0,10.0,5
316,Pentan,100.8,05.01.2022,34.0,10.0,6
317,Pentan,100.8,05.01.2022,34.0,10.0,7
318,Pentan,100.8,05.01.2022,34.0,10.0,8
319,Pentan,100.8,05.01.2022,34.0,10.0,9
320,Pentan,100.8,05.01.2022,34.0,10.0,10
